Trade #,+ R (%),BE,Candle Close,Close,Day,Entry Type,Entry method,Entry model,Liquidity Distance,Loss,News,Open,Potential R,RSI,SL Pips,Session,Trade Score,Win,Zone Type
134,1.5%,,Bullish,"January 7, 2025 13:45 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,19,,No,"January 7, 2025 13:20 (GMT+2)",1.5%,Between,214,London,A,,Supply
135,3%,,Beraish,"January 7, 2025 22:35 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,18,,No,"January 7, 2025 21:45 (GMT+2)",3%,Between,78,New York,A,,Supply
136,-1%,,Bullish,"January 8, 2025 8:10 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,41,Loss,No,"January 8, 2025 8:00 (GMT+2)",2.5%,Between,136,"Sydney, Tokyo",A,,Supply
,,,,,,,,,,,No,,,,,,,,
137,1.5%,,Beraish,"January 9, 2025 16:50 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,77,,No,"January 9, 2025 16:25 (GMT+2)",1.5%,Between,336,"London, New York",A,,Demand
138,-1%,,Bullish,"January 14, 2025 14:45 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,44,Loss,No,"January 14, 2025 14:40 (GMT+2)",1.5%,Between,190,London,B+,,Demand
139,1.5%,,Beraish,"January 22, 2025 10:35 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,114,,No,"January 22, 2025 10:05 (GMT+2)",1.5%,Between,232,"Sydney, Tokyo",B+,,Demand
140,3%,,Beraish,"January 23, 2025 23:55 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,114,,No,"January 23, 2025 22:00 (GMT+2)",3%,Between,70,New York,A,,Demand
141,-1%,,Beraish,"January 27, 2025 11:00 (GMT+2)",Monday,Default,Candle Close,S&D Retest,58,Loss,No,"January 27, 2025 10:40 (GMT+2)",2%,Between,195,"London, Tokyo",A,,Supply
142,1.5%,,Beraish,"January 29, 2025 15:15 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,8,,No,"January 29, 2025 15:10 (GMT+2)",1.5%,Between,244,"London, New York",A,,Demand
143,-1%,,Bullish,"January 31, 2025 13:35 (GMT+2)",Friday,Default,Candle Close,S&D Retest,36,Loss,No,"January 31, 2025 13:30 (GMT+2)",1.5%,Between,92,London,A,,Supply
144,1.5%,,Beraish,"February 4, 2025 10:40 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,94,,No,"February 4, 2025 10:20 (GMT+2)",1.5%,Between,267,"London, Tokyo",B+,,Supply
145,3%,,Beraish,"February 5, 2025 9:30 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,32,,No,"February 5, 2025 9:05 (GMT+2)",3%,Between,95,"London, Tokyo",B+,,Demand
146,2%,,Beraish,"February 5, 2025 16:05 (GMT+2)",Wednesday,Default,Candle Close,S&D Retest,62,,No,"February 5, 2025 15:50 (GMT+2)",2%,Between,197,"London, New York",B+,,Demand
147,1.5%,,Beraish,"June 9, 2025 16:45 (GMT+3)",Monday,Default,Candle Close,S&D Retest,83,,No,"June 9, 2025 16:25 (GMT+3)",1.5%,Between,323,"London, New York",A,,Demand
148,1.5%,,Beraish,"June 9, 2025 18:15 (GMT+3)",Monday,Default,Candle Close,S&D Retest,44,,No,"June 9, 2025 17:40 (GMT+3)",1.5%,Between,329,New York,B,,Demand
149,1.5%,,Beraish,"February 10, 2025 16:15 (GMT+2)",Monday,Default,Candle Close,S&D Retest,142,,No,"February 10, 2025 16:05 (GMT+2)",1.5%,Between,206,"London, New York",A+,,Demand
150,-1%,,Bullish,"February 18, 2025 10:40 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,15,Loss,No,"February 18, 2025 10:20 (GMT+2)",1.5%,Between,277,London,B+,,Supply
151,-1%,,Beraish,"February 20, 2025 20:15 (GMT+2)",Thursday,Default,Candle Close,S&D Retest,88,Loss,No,"February 20, 2025 20:00 (GMT+2)",1.5%,Between,194,New York,B+,,Demand
152,2.5%,,Bullish,"February 21, 2025 14:10 (GMT+2)",Friday,Default,Candle Close,S&D Retest,93,,No,"February 21, 2025 14:00 (GMT+2)",2.5%,Between,111,London,A,,Demand
153,1.5%,,Bullish,"February 24, 2025 10:50 (GMT+2)",Monday,Default,Candle Close,S&D Retest,50,,No,"February 24, 2025 10:40 (GMT+2)",1.5%,Between,221,"London, Tokyo",A,,Demand
154,1.5%,,Bullish,"February 28, 2025 18:25 (GMT+2)",Friday,Default,Candle Close,S&D Retest,227,,No,"February 28, 2025 18:05 (GMT+2)",1.5%,Between,246,New York,A,,Supply
155,-1%,,Beraish,"March 4, 2025 16:30 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,114,Loss,No,"March 4, 2025 16:20 (GMT+2)",1.5%,Between,272,"London, New York",A,,Demand
156,-1%,,Beraish,"March 10, 2025 15:45 (GMT+2)",Monday,Default,Candle Close,S&D Retest,37,Loss,No,"March 10, 2025 15:40 (GMT+2)",1.5%,Between,348,"London, New York",A,,Demand
157,2%,,Bullish,"March 18, 2025 15:45 (GMT+2)",Tuesday,Default,Candle Close,S&D Retest,36,,No,"March 18, 2025 15:40 (GMT+2)",2%,Between,182,"London, New York",A,,Demand
158,2%,,Bullish,"March 18, 2025 15:45 (GMT+2)",Tuesday,Flip,Candle Close,S&D Retest,63,,No,"March 18, 2025 15:40 (GMT+2)",2%,Between,144,New York,A,,Demand
,,,,,,,,,,,No,,,,,,,,
159,-1%,,Bullish,"March 24, 2025 16:20 (GMT+2)",Monday,Default,Candle Close,S&D Retest,13,Loss,No,"March 24, 2025 15:45 (GMT+2)",1.5%,Between,316,"London, New York",A,,Demand
160,1.5%,,Bullish,"March 24, 2025 16:20 (GMT+2)",Monday,Default,Candle Close,S&D Retest,13,,No,"March 24, 2025 15:45 (GMT+2)",1.5%,Between,316,"London, New York",A,,Demand
161,-1%,,Beraish,"March 31, 2025 16:30 (GMT+3)",Monday,Default,Candle Close,S&D Retest,26,Loss,No,"March 31, 2025 16:05 (GMT+3)",1.5%,Between,376,"London, New York",B+,,Demand
162,1.5%,,Beraish,"April 2, 2025 16:55 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,18,,No,"April 2, 2025 16:50 (GMT+3)",1.5%,Between,307,New York,B+,,Demand
163,1.5%,,Beraish,"April 11, 2025 17:10 (GMT+3)",Friday,Default,Candle Close,S&D Retest,202,,No,"April 11, 2025 16:55 (GMT+3)",1.5%,Between,606,"London, New York",B+,,Demand
164,1.5%,,Bullish,"April 25, 2025 16:00 (GMT+3)",Friday,Default,Candle Close,S&D Retest,167,,No,"April 25, 2025 15:30 (GMT+3)",1.5%,Between,759,London,B+,,Supply
165,-1%,,Bullish,"May 1, 2025 15:55 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,87,Loss,No,"May 1, 2025 15:45 (GMT+3)",1.5%,Between,399,"London, New York",A,,Supply
166,1.5%,,Bullish,"May 7, 2025 17:05 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,29,,No,"May 7, 2025 16:55 (GMT+3)",1.5%,Between,399,"London, New York",B+,,Supply
167,-1%,,Beraish,"May 12, 2025 15:20 (GMT+3)",Monday,Default,Candle Close,S&D Retest,315,Loss,No,"May 12, 2025 14:55 (GMT+3)",1.5%,Between,460,London,A+,,Supply
168,-1%,,Bullish,"May 14, 2025 9:05 (GMT+3)",Wednesday,Default,Candle Close,S&D Retest,192,Loss,No,"May 14, 2025 9:00 (GMT+3)",2%,Between,175,Tokyo,A,,Supply
,,,,,,,,,,,No,,,,,,,,
169,1.5%,,Bullish,"May 20, 2025 15:30 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,73,,No,"May 20, 2025 15:20 (GMT+3)",1.5%,Between,299,London,A,,Demand
170,-1%,,Beraish,"May 28, 2025 13:30 (GMT+3)",Tuesday,Default,Candle Close,S&D Retest,156,Loss,No,"May 28, 2025 13:20 (GMT+3)",1.5%,Between,233,London,A,,Demand
171,1.5%,,Bullish,"June 2, 2025 16:40 (GMT+3)",Monday,Default,Candle Close,S&D Retest,219,,No,"June 2, 2025 16:30 (GMT+3)",1.5%,Between,588,"London, New York",A,,Demand
