Trade #,Day,Session,Entry model,Entry method,Liquidity Distance,+ R (%),Potential R,Win,Loss,BE,RSI,Candle Close,News,Entry Type,Trade Score,Close,Open,SL Pips,Zone Type
135,Tuesday,New York,S&D Retest,Candle Close,18,3%,3%,,,,Between,Beraish,No,Default,A,"January 7, 2025 22:35 (GMT+2)","January 7, 2025 21:45 (GMT+2)",78,Supply
136,Wednesday,"Sydney, Tokyo",S&D Retest,Candle Close,41,-1%,2.5%,,Loss,,Between,Bullish,No,Default,A,"January 8, 2025 8:10 (GMT+2)","January 8, 2025 8:00 (GMT+2)",136,Supply
137,Thursday,"London, New York",S&D Retest,Candle Close,77,1.5%,1.5%,,,,Between,Beraish,No,Default,A,"January 9, 2025 16:50 (GMT+2)","January 9, 2025 16:25 (GMT+2)",336,Demand
138,Tuesday,London,S&D Retest,Candle Close,44,-1%,1.5%,,Loss,,Between,Bullish,No,Default,B+,"January 14, 2025 14:45 (GMT+2)","January 14, 2025 14:40 (GMT+2)",190,Demand
139,Wednesday,"Sydney, Tokyo",S&D Retest,Candle Close,114,1.5%,1.5%,,,,Between,Beraish,No,Default,B+,"January 22, 2025 10:35 (GMT+2)","January 22, 2025 10:05 (GMT+2)",232,Demand
140,Thursday,New York,S&D Retest,Candle Close,114,3%,3%,,,,Between,Beraish,No,Default,A,"January 23, 2025 23:55 (GMT+2)","January 23, 2025 22:00 (GMT+2)",70,Demand
141,Monday,"London, Tokyo",S&D Retest,Candle Close,58,-1%,2%,,Loss,,Between,Beraish,No,Default,A,"January 27, 2025 11:00 (GMT+2)","January 27, 2025 10:40 (GMT+2)",195,Supply
142,Wednesday,"London, New York",S&D Retest,Candle Close,8,1.5%,1.5%,,,,Between,Beraish,No,Default,A,"January 29, 2025 15:15 (GMT+2)","January 29, 2025 15:10 (GMT+2)",244,Demand
143,Friday,London,S&D Retest,Candle Close,36,-1%,1.5%,,Loss,,Between,Bullish,No,Default,A,"January 31, 2025 13:35 (GMT+2)","January 31, 2025 13:30 (GMT+2)",92,Supply
144,Tuesday,"London, Tokyo",S&D Retest,Candle Close,94,1.5%,1.5%,,,,Between,Beraish,No,Default,B+,"February 4, 2025 10:40 (GMT+2)","February 4, 2025 10:20 (GMT+2)",267,Supply
145,Wednesday,"London, Tokyo",S&D Retest,Candle Close,32,3%,3%,,,,Between,Beraish,No,Default,B+,"February 5, 2025 9:30 (GMT+2)","February 5, 2025 9:05 (GMT+2)",95,Demand
146,Wednesday,"London, New York",S&D Retest,Candle Close,62,2%,2%,,,,Between,Beraish,No,Default,B+,"February 5, 2025 16:05 (GMT+2)","February 5, 2025 15:50 (GMT+2)",197,Demand
147,Monday,"London, New York",S&D Retest,Candle Close,83,1.5%,1.5%,,,,Between,Beraish,No,Default,A,"June 9, 2025 16:45 (GMT+3)","June 9, 2025 16:25 (GMT+3)",323,Demand
148,Monday,New York,S&D Retest,Candle Close,44,1.5%,1.5%,,,,Between,Beraish,No,Default,B,"June 9, 2025 18:15 (GMT+3)","June 9, 2025 17:40 (GMT+3)",329,Demand
149,Monday,"London, New York",S&D Retest,Candle Close,142,1.5%,1.5%,,,,Between,Beraish,No,Default,A+,"February 10, 2025 16:15 (GMT+2)","February 10, 2025 16:05 (GMT+2)",206,Demand
150,Tuesday,London,S&D Retest,Candle Close,15,-1%,1.5%,,Loss,,Between,Bullish,No,Default,B+,"February 18, 2025 10:40 (GMT+2)","February 18, 2025 10:20 (GMT+2)",277,Supply
151,Thursday,New York,S&D Retest,Candle Close,88,-1%,1.5%,,Loss,,Between,Beraish,No,Default,B+,"February 20, 2025 20:15 (GMT+2)","February 20, 2025 20:00 (GMT+2)",194,Demand
152,Friday,London,S&D Retest,Candle Close,93,2.5%,2.5%,,,,Between,Bullish,No,Default,A,"February 21, 2025 14:10 (GMT+2)","February 21, 2025 14:00 (GMT+2)",111,Demand
153,Monday,"London, Tokyo",S&D Retest,Candle Close,50,1.5%,1.5%,,,,Between,Bullish,No,Default,A,"February 24, 2025 10:50 (GMT+2)","February 24, 2025 10:40 (GMT+2)",221,Demand
154,Friday,New York,S&D Retest,Candle Close,227,1.5%,1.5%,,,,Between,Bullish,No,Default,A,"February 28, 2025 18:25 (GMT+2)","February 28, 2025 18:05 (GMT+2)",246,Supply
155,Tuesday,"London, New York",S&D Retest,Candle Close,114,-1%,1.5%,,Loss,,Between,Beraish,No,Default,A,"March 4, 2025 16:30 (GMT+2)","March 4, 2025 16:20 (GMT+2)",272,Demand
156,Monday,"London, New York",S&D Retest,Candle Close,37,-1%,1.5%,,Loss,,Between,Beraish,No,Default,A,"March 10, 2025 15:45 (GMT+2)","March 10, 2025 15:40 (GMT+2)",348,Demand
157,Tuesday,"London, New York",S&D Retest,Candle Close,36,2%,2%,,,,Between,Bullish,No,Default,A,"March 18, 2025 15:45 (GMT+2)","March 18, 2025 15:40 (GMT+2)",182,Demand
158,Tuesday,New York,S&D Retest,Candle Close,63,2%,2%,,,,Between,Bullish,No,Flip,A,"March 18, 2025 15:45 (GMT+2)","March 18, 2025 15:40 (GMT+2)",144,Demand
159,Monday,"London, New York",S&D Retest,Candle Close,13,-1%,1.5%,,Loss,,Between,Bullish,No,Default,A,"March 24, 2025 16:20 (GMT+2)","March 24, 2025 15:45 (GMT+2)",316,Demand
160,Monday,"London, New York",S&D Retest,Candle Close,13,1.5%,1.5%,,,,Between,Bullish,No,Default,A,"March 24, 2025 16:20 (GMT+2)","March 24, 2025 15:45 (GMT+2)",316,Demand
161,Monday,"London, New York",S&D Retest,Candle Close,26,-1%,1.5%,,Loss,,Between,Beraish,No,Default,B+,"March 31, 2025 16:30 (GMT+3)","March 31, 2025 16:05 (GMT+3)",376,Demand
162,Wednesday,New York,S&D Retest,Candle Close,18,1.5%,1.5%,,,,Between,Beraish,No,Default,B+,"April 2, 2025 16:55 (GMT+3)","April 2, 2025 16:50 (GMT+3)",307,Demand
163,Friday,"London, New York",S&D Retest,Candle Close,202,1.5%,1.5%,,,,Between,Beraish,No,Default,B+,"April 11, 2025 17:10 (GMT+3)","April 11, 2025 16:55 (GMT+3)",606,Demand
164,Friday,London,S&D Retest,Candle Close,167,1.5%,1.5%,,,,Between,Bullish,No,Default,B+,"April 25, 2025 16:00 (GMT+3)","April 25, 2025 15:30 (GMT+3)",759,Supply
165,Thursday,"London, New York",S&D Retest,Candle Close,87,-1%,1.5%,,Loss,,Between,Bullish,No,Default,A,"May 1, 2025 15:55 (GMT+3)","May 1, 2025 15:45 (GMT+3)",399,Supply
166,Wednesday,"London, New York",S&D Retest,Candle Close,29,1.5%,1.5%,,,,Between,Bullish,No,Default,B+,"May 7, 2025 17:05 (GMT+3)","May 7, 2025 16:55 (GMT+3)",399,Supply
167,Monday,London,S&D Retest,Candle Close,315,-1%,1.5%,,Loss,,Between,Beraish,No,Default,A+,"May 12, 2025 15:20 (GMT+3)","May 12, 2025 14:55 (GMT+3)",460,Supply
168,Wednesday,Tokyo,S&D Retest,Candle Close,192,-1%,2%,,Loss,,Between,Bullish,No,Default,A,"May 14, 2025 9:05 (GMT+3)","May 14, 2025 9:00 (GMT+3)",175,Supply
169,Tuesday,London,S&D Retest,Candle Close,73,1.5%,1.5%,,,,Between,Bullish,No,Default,A,"May 20, 2025 15:30 (GMT+3)","May 20, 2025 15:20 (GMT+3)",299,Demand
170,Tuesday,London,S&D Retest,Candle Close,156,-1%,1.5%,,Loss,,Between,Beraish,No,Default,A,"May 28, 2025 13:30 (GMT+3)","May 28, 2025 13:20 (GMT+3)",233,Demand
171,Monday,"London, New York",S&D Retest,Candle Close,219,1.5%,1.5%,,,,Between,Bullish,No,Default,A,"June 2, 2025 16:40 (GMT+3)","June 2, 2025 16:30 (GMT+3)",588,Demand
,,,,,,,,,,,,,No,,,,,,
,,,,,,,,,,,,,No,,,,,,
